Repository URL	branch	libraries folder	Notes	source
https://github.com/01org/corelibs-edison	master	libraries	Possibly abandoned, but maybe worth a feeler PR	
https://github.com/01org/corelibs-galileo	master	libraries	Possibly abandoned, but maybe worth a feeler PR	
https://github.com/adafruit/Adafruit_Arduino_Boards	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/adafruit/Adafruit_nRF52_Arduino	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/adafruit/Adafruit_WICED_Arduino	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/adafruit/ArduinoCore-samd	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/adafruit/TeeOnArdu	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/akafugu/akafugu_core	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/AloriumTechnology/Arduino_Boards	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/Ameba8195/Arduino	master	hardware_v2/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/arachnidlabs/arachnidlabs-boards	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/Ardhat/ardhat.github.io	master	ardhat-board-support/arduino/ardhat-1.0.0/libraries	The use of a version number in the folder name is likely to break this on every release	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/Arduboy/arduboy.github.io	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/arduino-org/arduino-core-nrf52	master	libraries		
https://github.com/arduino-org/arduino-core-stm32f4	master	libraries		
https://github.com/arduino/ArduinoCore-arc32	master	libraries		
https://github.com/arduino/ArduinoCore-avr	master	libraries		
https://github.com/arduino/ArduinoCore-megaavr	master	libraries		
https://github.com/arduino/ArduinoCore-sam	master	libraries		
https://github.com/arduino/ArduinoCore-samd	master	libraries		
https://github.com/avandalen/SAM15x15	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/BayCEER/BayEOS-Arduino	master	libraries		
https://github.com/BirdBrainTechnologies/BirdBrain-Arduino-Libraries	master	bbtech-avr-1.1.0/libraries	The use of a version number in the folder name is likely to break this on every release	
https://github.com/Bisotronic/archiduino_1.8.5	master	avr/libraries		https://github.com/topics/arduino-platform
https://github.com/bwshockley/Minifigure-SAMD21E	master	arduino/mini_sam/hardware/samd/2.0.0/libraries 	idiotic repository structure that will probably break the library path on every release	
https://github.com/carlosefr/atmega	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/chipKIT32/chipKIT-core	master	pic32/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ChrisMicro/STM32GENERIC	master	STM32/libraries		https://github.com/topics/arduino-platform
https://github.com/CytronTechnologies/CT-ARM	master	libraries		
https://github.com/CytronTechnologies/Cytron-Arduino-URL	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/CytronTechnologies/Cytron-ARM-Arduino-URL	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/damellis/attiny	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/danieleff/STM32GENERIC	master	STM32/libraries		
https://github.com/DFRobot/DFRobotDuinoBoard	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/digistump/DigistumpArduino	master	digistump-avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/digistump/DigistumpArduino	master	digistump-sam/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/eerimoq/simba-releases	master		The package is only available in compressed files so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/eightdog/laika_arduino	master		The package is only available in compressed files (on the release page) so there is no way to submit a PR	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ElektorLabs/arduino	master	source/avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ElektorLabs/arduino	master	source/avrpb/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/ElektorLabs/arduino	master	source2/avr/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/Engimusing/engimusing.github.io	master	arduinoIDE/efm48_1/1.0.1/libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/esp8266/Arduino	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/espressif/arduino-esp32	master	libraries		https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/feilipu/Arduino_Goldilocks_Variant	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/FemtoCow/ATTinyCore	master		No libraries	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/geolink/opentracker-arduino-board	master	sam/1.0.5/libraries	The use of a version number in the folder name is likely to break this on every release	https://github.com/arduino/Arduino/wiki/Unofficial-list-of-3rd-party-boards-support-urls
https://github.com/GrumpyOldPizza/ArduinoCore-stm32l0	master	libraries		
